"rel","title","titleLen","descLen","h1","canonical","wordCount","imgs","missingAlt","jsonTypes"
"repairs/backglass/iphone-11-pro-max.html","iPhone 11 Pro Max Back Glass Replacement Guide","46","175","iPhone 11 Pro Max Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-11-pro-max.html","1606","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-11-pro.html","iPhone 11 Pro Back Glass Replacement Guide","42","171","iPhone 11 Pro Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-11-pro.html","1556","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-11.html","iPhone 11 Back Glass Replacement Guide","38","167","iPhone 11 Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-11.html","1518","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-12-mini.html","iPhone 12 mini Back Glass Replacement Guide","43","172","iPhone 12 mini Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-12-mini.html","1568","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-12-pro-max.html","iPhone 12 Pro Max Back Glass Replacement Guide","46","175","iPhone 12 Pro Max Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-12-pro-max.html","1615","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-12-pro.html","iPhone 12 Pro Back Glass Replacement Guide","42","171","iPhone 12 Pro Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-12-pro.html","1568","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-12.html","iPhone 12 Back Glass Replacement Guide","38","167","iPhone 12 Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-12.html","1450","9","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-13-mini.html","iPhone 13 mini Back Glass Replacement Guide","43","172","iPhone 13 mini Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-13-mini.html","1564","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-13-pro-max.html","iPhone 13 Pro Max Back Glass Replacement Guide","46","175","iPhone 13 Pro Max Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-13-pro-max.html","1614","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
"repairs/backglass/iphone-13-pro.html","iPhone 13 Pro Back Glass Replacement Guide","42","171","iPhone 13 Pro Back Glass Replacement Guide","https://fixmob.tech/repairs/backglass/iphone-13-pro.html","1561","10","0","BreadcrumbList|ListItem|ListItem|ListItem|Article|Thing|Thing|Thing|Organization|Organization|ImageObject"
