domain,url,topic,model,target_page,opportunity_type,priority,reason,status
Google prospecting query,https://www.google.com/search?q=iPhone+unknown+repair+resources,iPhone unknown,iPhone,https://fixmob.tech/,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=fixmob+repair+resources,fixmob,iPhone,https://fixmob.tech/,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=iPhone+15+Pro+Max+screen+repair+resources,iPhone 15 Pro Max screen,iPhone 15 Pro Max,https://fixmob.tech/repairs/screen/iphone-15-pro-max.html,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=iPhone+13+Mini+battery+repair+resources,iPhone 13 Mini battery,iPhone 13 Mini,https://fixmob.tech/repairs/battery/iphone-13-mini.html,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=iPhone+14+screen+repair+resources,iPhone 14 screen,iPhone 14,https://fixmob.tech/repairs/screen/iphone-14.html,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=iPhone+17+Pro+screen+repair+resources,iPhone 17 Pro screen,iPhone 17 Pro,https://fixmob.tech/repairs/screen/iphone-17-pro.html,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=iphone+17+pro+screen+replacement+repair+resources,iphone 17 pro screen replacement,iPhone 17 Pro,https://fixmob.tech/,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=iPhone+X+backglass+repair+resources,iPhone X backglass,iPhone X,https://fixmob.tech/repairs/backglass/iphone-xs-max.html,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=fix+mob+repair+resources,fix mob,iPhone,https://fixmob.tech/,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
Google prospecting query,https://www.google.com/search?q=iphone+17+screen+replacement+repair+resources,iphone 17 screen replacement,iPhone 17,https://fixmob.tech/,Resource page prospecting,REVIEW,Seek legitimate resource pages that may cite original screw photos or repair checklists.,READY_FOR_REVIEW
