"source","keyword","page","intent","clicks","impressions","avg_position","priority","note"
"gsc_visible_screenshot","can you replace the battery in an iphone 13 mini","https://fixmob.tech/repairs/battery/iphone-13-mini.html","battery repair question","0","1","","medium","Visible in supplied Search Console screenshot"
"gsc_visible_screenshot","fix mob","https://fixmob.tech/","brand","0","2","","brand-protect","Visible in supplied Search Console screenshot"
"gsc_visible_screenshot","fixmob","https://fixmob.tech/","brand","3","21","","brand-protect","Visible in supplied Search Console screenshot"
"gsc_visible_screenshot","fixmobil","https://fixmob.tech/","brand typo","0","2","","medium","Visible in supplied Search Console screenshot"
"gsc_visible_screenshot","iphone 17 pro screen replacement","https://fixmob.tech/repairs/screen/iphone-17-pro.html","screen repair","0","8","","high","Visible in supplied Search Console screenshot"
"site_target_page","iphone 11 back glass replacement guide","https://fixmob.tech/repairs/backglass/iphone-11.html","back glass repair","","","","high","iPhone 11 back glass repair guide for rear glass cracks, camera ring damage, or wireless charging checks, with 8 photos, safety notes, screw checks, and closing tests."
"site_target_page","iphone 11 pro back glass replacement guide","https://fixmob.tech/repairs/backglass/iphone-11-pro.html","back glass repair","","","","high","iPhone 11 Pro back glass repair guide for rear glass cracks, camera ring damage, or wireless charging checks, with 8 photos, safety notes, screw checks, and closing tests."
"site_target_page","iphone 11 pro max back glass replacement guide","https://fixmob.tech/repairs/backglass/iphone-11-pro-max.html","back glass repair","","","","high","iPhone 11 Pro Max back glass repair guide for rear glass cracks, camera ring damage, or wireless charging checks, with 8 photos, safety notes, screw checks, and closing tests."
"site_target_page","iphone 12 back glass replacement guide","https://fixmob.tech/repairs/backglass/iphone-12.html","back glass repair","","","","high","iPhone 12 back glass repair guide for rear glass cracks, camera ring damage, or wireless charging checks, with 7 photos, safety notes, screw checks, and closing tests."
"site_target_page","iphone 12 mini back glass replacement guide","https://fixmob.tech/repairs/backglass/iphone-12-mini.html","back glass repair","","","","high","iPhone 12 mini back glass repair guide for rear glass cracks, camera ring damage, or wireless charging checks, with 8 photos, safety notes, screw checks, and closing tests."
"site_target_page","iphone 12 pro back glass replacement guide","https://fixmob.tech/repairs/backglass/iphone-12-pro.html","back glass repair","","","","high","iPhone 12 Pro back glass repair guide for rear glass cracks, camera ring damage, or wireless charging checks, with 8 photos, safety notes, screw checks, and closing tests."
